,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Taoudenni,ML,80.76,clear sky,22.6783,-3.9836,
483,Chazuta,PE,72.1,broken clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
484,Manaquiri,BR,75.65,overcast clouds,-3.3167,-60.35,
486,Karratha,AU,87.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
487,Odweyne,SO,72.93,broken clouds,9.4092,45.064,Eng Hiirey House
489,Kapit,MY,87.58,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
490,Feijo,BR,72.45,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
495,Inirida,CO,72.54,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
498,Srivardhan,IN,82.2,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
501,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
502,Baghmara,IN,81.97,scattered clouds,23.795,86.2085,Shankar tea shop
503,Beberibe,BR,77.18,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
504,Nkhotakota,MW,77.86,clear sky,-12.9274,34.2961,Sitima Inn
505,Biltine,TD,77.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
507,Mushie,CD,71.42,light rain,-3.0167,16.9,
512,Aguie,NE,77.63,clear sky,13.506,7.7786,
514,Keningau,MY,84.4,overcast clouds,5.3378,116.1602,Sabindo Hotel
526,Wewak,PG,84.79,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
528,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
529,Matara,LK,83.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
530,Barahona,DO,77.43,light rain,18.2085,-71.1008,Hotel Caribe
532,Nelson Bay,AU,71.65,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
533,Dawlatabad,AF,72.25,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
534,Sur,OM,86.58,broken clouds,22.5667,59.5289,Sur Plaza Hotel
