,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,East London,ZA,-33.0153,27.9116,61.74,94,31,4.61,scattered clouds
198,Tura,IN,25.5198,90.2201,82.87,63,3,2.73,clear sky
199,Chokurdakh,RU,70.6333,147.9167,15.04,95,98,7.96,overcast clouds
200,Sabla,NG,12.7525,4.7077,75.85,30,27,5.55,scattered clouds
201,Danshui,CN,22.7984,114.4672,64.89,71,100,11.5,light rain
202,Intipuca,SV,13.1969,-88.0544,78.75,95,97,2.77,overcast clouds
203,Yaan,NG,7.3833,8.5667,72.99,92,100,3.04,overcast clouds
204,College,US,64.8569,-147.8028,36.07,85,75,0.0,broken clouds
205,Ixtapa,MX,20.7,-105.2,81.63,83,75,0.0,broken clouds
206,Grand Gaube,MU,-20.0064,57.6608,74.37,61,61,10.0,broken clouds
207,Zwedru,LR,6.0667,-8.1281,70.77,99,86,1.36,overcast clouds
208,Qaqortoq,GL,60.7167,-46.0333,32.72,69,100,5.61,overcast clouds
209,Arraial Do Cabo,BR,-22.9661,-42.0278,71.06,93,48,10.83,scattered clouds
210,Auki,SB,-8.7676,160.7034,84.56,66,26,4.03,scattered clouds
211,Faya,SA,18.3851,42.4509,55.92,25,41,3.44,scattered clouds
212,Chuy,UY,-33.6971,-53.4616,59.34,79,100,14.34,overcast clouds
213,Hay River,CA,60.8156,-115.7999,51.78,58,20,9.22,few clouds
214,Ashcroft,CA,50.7165,-121.2859,56.01,56,100,2.06,overcast clouds
215,Asau,RO,46.4333,26.4,34.72,74,7,3.94,clear sky
216,Vestmannaeyjar,IS,63.4427,-20.2734,41.43,75,23,10.45,few clouds
217,Ponta Delgada,PT,37.7333,-25.6667,63.32,63,20,26.46,few clouds
218,Sechura,PE,-5.5569,-80.8222,61.54,82,37,10.09,scattered clouds
219,Sri Aman,MY,1.2376,111.4621,86.09,74,40,2.3,scattered clouds
220,Dzheyrakh,RU,42.8228,44.6756,42.19,98,100,3.98,overcast clouds
221,Bambanglipuro,ID,-7.95,110.2833,82.11,74,100,9.31,moderate rain
222,Inuvik,CA,68.3499,-133.7218,27.46,100,100,4.61,overcast clouds
223,Loa Janan,ID,-0.583,117.095,86.61,68,100,2.91,overcast clouds
224,Mandera,KE,3.9366,41.867,78.84,67,76,12.59,broken clouds
225,Malakal,SS,9.5334,31.6605,71.96,94,98,3.87,overcast clouds
226,Maningrida,AU,-12.0667,134.2667,90.77,45,98,12.57,overcast clouds
227,West Fargo,US,46.875,-96.9004,22.01,56,0,6.91,clear sky
228,Vega De Alatorre,MX,20.0333,-96.6333,78.13,87,93,2.53,light rain
229,Dumas,US,35.8656,-101.9732,46.53,81,40,5.75,scattered clouds
230,Erzin,TR,36.9559,36.2,72.48,56,25,1.83,scattered clouds
231,Rocha,UY,-34.4833,-54.3333,58.68,72,94,11.74,overcast clouds
232,Mar Del Plata,AR,-38.0023,-57.5575,56.08,86,0,17.0,clear sky
233,Tocopilla,CL,-22.092,-70.1979,61.45,67,3,3.36,clear sky
234,Cuenca,EC,-2.8833,-78.9833,55.53,94,87,5.75,overcast clouds
235,Mabaruma,GY,8.2,-59.7833,74.1,96,76,2.08,broken clouds
236,Bethel,US,41.3712,-73.414,54.19,88,75,3.44,broken clouds
237,San Patricio,US,28.017,-97.5169,73.26,40,39,10.0,scattered clouds
238,Booue,GA,-0.0921,11.9385,70.72,98,99,1.14,overcast clouds
